SVID,Type,Name,Unit,Pointer,Comment,Line,SourceRef
1127,INT_4_TYPE,Bin 4 Count ART,,&LastSet.iBinData32_ART[0][4],ART Bin 4 Count,179,SECSGEM/uHGemHT9045_SV.cpp#L179
1128,INT_4_TYPE,Bin 5 Count ART,,&LastSet.iBinData32_ART[0][5],ART Bin 5 Count,180,SECSGEM/uHGemHT9045_SV.cpp#L180
1129,INT_4_TYPE,Bin 6 Count ART,,&LastSet.iBinData32_ART[0][6],ART Bin 6 Count,181,SECSGEM/uHGemHT9045_SV.cpp#L181
1130,INT_4_TYPE,Bin 7 Count ART,,&LastSet.iBinData32_ART[0][7],ART Bin 7 Count,182,SECSGEM/uHGemHT9045_SV.cpp#L182
1131,INT_4_TYPE,Bin 8 Count ART,,&LastSet.iBinData32_ART[0][8],ART Bin 8 Count,183,SECSGEM/uHGemHT9045_SV.cpp#L183
1132,INT_4_TYPE,Bin 9 Count ART,,&LastSet.iBinData32_ART[0][9],ART Bin 9 Count,184,SECSGEM/uHGemHT9045_SV.cpp#L184
1133,INT_4_TYPE,Bin 10 Count ART,,&LastSet.iBinData32_ART[0][10],ART Bin 10 Count,185,SECSGEM/uHGemHT9045_SV.cpp#L185
1134,INT_4_TYPE,Bin 11 Count ART,,&LastSet.iBinData32_ART[0][11],ART Bin 11 Count,186,SECSGEM/uHGemHT9045_SV.cpp#L186
1135,INT_4_TYPE,Bin 12 Count ART,,&LastSet.iBinData32_ART[0][12],ART Bin 12 Count,187,SECSGEM/uHGemHT9045_SV.cpp#L187
1136,INT_4_TYPE,Bin 13 Count ART,,&LastSet.iBinData32_ART[0][13],ART Bin 13 Count,188,SECSGEM/uHGemHT9045_SV.cpp#L188
1137,INT_4_TYPE,Bin 14 Count ART,,&LastSet.iBinData32_ART[0][14],ART Bin 14 Count,189,SECSGEM/uHGemHT9045_SV.cpp#L189
1138,INT_4_TYPE,Bin 15 Count ART,,&LastSet.iBinData32_ART[0][15],ART Bin 15 Count,190,SECSGEM/uHGemHT9045_SV.cpp#L190
1139,INT_4_TYPE,ATR FT PassCount,,&iATRPassCount[0],ATR FT Pass TotalCount,192,SECSGEM/uHGemHT9045_SV.cpp#L192
1140,INT_4_TYPE,ATR FT FailCount,,&iATRFailCount[0],ATR FT Fail TotalCount,193,SECSGEM/uHGemHT9045_SV.cpp#L193
1141,INT_4_TYPE,ATR FT LoaderCount,,&iATRTotalCount[0],ATR FT Loader TotalCount,194,SECSGEM/uHGemHT9045_SV.cpp#L194
1142,INT_4_TYPE,ATR RT PassCount,,&iATRPassCount[1],ATR RT Pass TotalCount,195,SECSGEM/uHGemHT9045_SV.cpp#L195
1143,INT_4_TYPE,ATR RT FailCount,,&iATRFailCount[1],ATR RT Fail TotalCount,196,SECSGEM/uHGemHT9045_SV.cpp#L196
1144,INT_4_TYPE,ATR RT LoaderCount,,&iATRTotalCount[1],ATR RT Loader TotalCount,197,SECSGEM/uHGemHT9045_SV.cpp#L197
1151,ASCII_TYPE,Auto1 Yield,,&RunInfo.sT6AutoYield[eAuto1],Auto 1 Yield,199,SECSGEM/uHGemHT9045_SV.cpp#L199
1152,ASCII_TYPE,Auto2 Yield,,&RunInfo.sT6AutoYield[eAuto2],Auto 2 Yield,200,SECSGEM/uHGemHT9045_SV.cpp#L200
1153,ASCII_TYPE,Auto3 Yield,,&RunInfo.sT6AutoYield[eAuto3],Auto 3 Yield,201,SECSGEM/uHGemHT9045_SV.cpp#L201
