"File","Line","Status","Old","New"
"cinitial.cpp","14092","OK","SThreadPara.iLaserBasePos[0]/MOT[MInShuttle1].Motor->GearRatio","ChangeToFloatNonPcnt((double)(SThreadPara.iLaserBasePos[0]), (double)(MOT[MInShuttle1].Motor->GearRatio))"
"cinitial.cpp","14091","OK","SThreadPara.base_InposY[1]/MOT[MInShuttle2].Motor->GearRatio","ChangeToFloatNonPcnt((double)(SThreadPara.base_InposY[1]), (double)(MOT[MInShuttle2].Motor->GearRatio))"
"cinitial.cpp","14090","OK","SThreadPara.base_InposY[1]/MOT[MInShuttle2].Motor->GearRatio","ChangeToFloatNonPcnt((double)(SThreadPara.base_InposY[1]), (double)(MOT[MInShuttle2].Motor->GearRatio))"
"cinitial.cpp","14089","OK","SThreadPara.base_InposY[0]/MOT[MInShuttle1].Motor->GearRatio","ChangeToFloatNonPcnt((double)(SThreadPara.base_InposY[0]), (double)(MOT[MInShuttle1].Motor->GearRatio))"
"cinitial.cpp","14088","OK","SThreadPara.base_InposY[0]/MOT[MInShuttle1].Motor->GearRatio","ChangeToFloatNonPcnt((double)(SThreadPara.base_InposY[0]), (double)(MOT[MInShuttle1].Motor->GearRatio))"
"cinitial.cpp","14087","OK","SThreadPara.base_posY[1]/MOT[MInShuttle2].Motor->GearRatio","ChangeToFloatNonPcnt((double)(SThreadPara.base_posY[1]), (double)(MOT[MInShuttle2].Motor->GearRatio))"
"cinitial.cpp","14086","OK","SThreadPara.base_posY[1]/MOT[MInShuttle2].Motor->GearRatio","ChangeToFloatNonPcnt((double)(SThreadPara.base_posY[1]), (double)(MOT[MInShuttle2].Motor->GearRatio))"
"cinitial.cpp","14085","OK","SThreadPara.base_posY[0]/MOT[MInShuttle1].Motor->GearRatio","ChangeToFloatNonPcnt((double)(SThreadPara.base_posY[0]), (double)(MOT[MInShuttle1].Motor->GearRatio))"
"cinitial.cpp","14084","OK","SThreadPara.base_posY[0]/MOT[MInShuttle1].Motor->GearRatio","ChangeToFloatNonPcnt((double)(SThreadPara.base_posY[0]), (double)(MOT[MInShuttle1].Motor->GearRatio))"
"cMyDB.cpp","369","OK","Sum/LastSet.iJamCount[2]","ChangeToFloatNonPcnt((double)(Sum), (double)(LastSet.iJamCount[2]))"
"cMyDB.cpp","368","OK","LastSet.SystemAccSecond[iDataType][stJamTime])/1000)/LastSet.iJamCount[2]","ChangeToFloatNonPcnt((double)(LastSet.SystemAccSecond[iDataType][stJamTime])/1000)), (double)(LastSet.iJamCount[2]))"
"cObserver.cpp","2273","OK","dSec/LastSet.iJamCount[1]","ChangeToFloatNonPcnt((double)(dSec), (double)(LastSet.iJamCount[1]))"
"cObserver.cpp","1753","OK","sum/TestIF_File.iMonitorWindow","ChangeToFloatNonPcnt((double)(sum), (double)(TestIF_File.iMonitorWindow))"
"cpublic.cpp","1566","OK","y/w","ChangeToFloatNonPcnt((double)(y), (double)(w))"
"cpublic.cpp","1563","OK","0.5/w","ChangeToFloatNonPcnt((double)(0.5), (double)(w))"
"cpublic.cpp","1561","OK","0.5/w","ChangeToFloatNonPcnt((double)(0.5), (double)(w))"
"cpublic.cpp","292","OK","d/dDigit","ChangeToFloatNonPcnt((double)(d), (double)(dDigit))"
"cpublic.cpp","233","OK","i/GearRatio","ChangeToFloatNonPcnt((double)(i), (double)(GearRatio))"
"csystem.cpp","22697","OK","iMag/iFixCnt","ChangeToFloatNonPcnt((double)(iMag), (double)(iFixCnt))"
"csystem.cpp","22659","OK","iMag/iFixCnt","ChangeToFloatNonPcnt((double)(iMag), (double)(iFixCnt))"
"csystem.cpp","22615","OK","iPickMag/iFixCnt","ChangeToFloatNonPcnt((double)(iPickMag), (double)(iFixCnt))"
"csystem.cpp","21140","OK","ESD_GENERAL.Alarm_Continuous_Time*1000/ESD_GENERAL.ScanInterval","ChangeToFloatNonPcnt((double)(ESD_GENERAL.Alarm_Continuous_Time*1000), (double)(ESD_GENERAL.ScanInterval))"
"csystem.cpp","21015","OK","dBoostCoolSec/Temperature.dPostBoostDuration[iTriggerBoostFuncBack]","ChangeToFloatNonPcnt((double)(dBoostCoolSec), (double)(Temperature.dPostBoostDuration[iTriggerBoostFuncBack]))"
"csystem.cpp","21014","OK","dBoostCoolSec/Temperature.dPostBoostDuration[iTriggerBoostFuncBack]","ChangeToFloatNonPcnt((double)(dBoostCoolSec), (double)(Temperature.dPostBoostDuration[iTriggerBoostFuncBack]))"
"csystem.cpp","13729","OK","iFail_ART*100/Sum_ART","ChangeToFloatNonPcnt((double)(iFail_ART*100), (double)(Sum_ART))"
"cTrayMapping.cpp","6084","OK","(double)iSum/iCount","ChangeToFloatNonPcnt((double)((double)iSum), (double)(iCount))"
"FixAICCD.cpp","221","OK","iAiDataLen/iAiStructLen","ChangeToFloatNonPcnt((double)(iAiDataLen), (double)(iAiStructLen))"
