"File","FullPath","Line","OldExpr","NewExpr","Numerator","Denominator","OrigLine"
"aTester_Front.cpp","D:\HT9045\HT9011UC_Code_V3.33.897.0_20260306\aTester_Front.cpp","5319","100/CCDTimeOutSec","ChangeToFloatNonPcnt((double)(100), (double)(CCDTimeOutSec))","100","CCDTimeOutSec","if(iCCDTimeOutCount>(100/CCDTimeOutSec))"
"aTester_Rear.cpp","D:\HT9045\HT9011UC_Code_V3.33.897.0_20260306\aTester_Rear.cpp","290","MOT[MTestZ2].Gali_ReadEncoderPos()/MOT[MTestZ2].Motor->GearRatio","ChangeToFloatNonPcnt((double)(MOT[MTestZ2].Gali_ReadEncoderPos()), (double)(MOT[MTestZ2].Motor->GearRatio))","MOT[MTestZ2].Gali_ReadEncoderPos()","MOT[MTestZ2].Motor->GearRatio","int Pos3=MOT[MTestZ2].Gali_ReadEncoderPos()/MOT[MTestZ2].Motor->GearRatio;  //Steven 20100728 Start: 要加上齒輪比"
"aTester_Rear.cpp","D:\HT9045\HT9011UC_Code_V3.33.897.0_20260306\aTester_Rear.cpp","291","MOT[MTestY2].Gali_ReadEncoderPos()/MOT[MTestY2].Motor->GearRatio","ChangeToFloatNonPcnt((double)(MOT[MTestY2].Gali_ReadEncoderPos()), (double)(MOT[MTestY2].Motor->GearRatio))","MOT[MTestY2].Gali_ReadEncoderPos()","MOT[MTestY2].Motor->GearRatio","int Pos4=MOT[MTestY2].Gali_ReadEncoderPos()/MOT[MTestY2].Motor->GearRatio;"
"aTester_Rear.cpp","D:\HT9045\HT9011UC_Code_V3.33.897.0_20260306\aTester_Rear.cpp","5605","100/CCDTimeOutSec","ChangeToFloatNonPcnt((double)(100), (double)(CCDTimeOutSec))","100","CCDTimeOutSec","if(iCCDTimeOutCount>(100/CCDTimeOutSec))"
"AutoTemperature.cpp","D:\HT9045\HT9011UC_Code_V3.33.897.0_20260306\AutoTemperature.cpp","1342","i/ACTData.iDisplayColumn","ChangeToFloatNonPcnt((double)(i), (double)(ACTData.iDisplayColumn))","i","ACTData.iDisplayColumn","myATPal[i]->gbMeasurePoint->Top=4+(myATPal[i]->gbMeasurePoint->Height+10)*(i/ACTData.iDisplayColumn);"
"cConfiguration.cpp","D:\HT9045\HT9011UC_Code_V3.33.897.0_20260306\cConfiguration.cpp","152","iCount/iCbColCount","ChangeToFloatNonPcnt((double)(iCount), (double)(iCbColCount))","iCount","iCbColCount","cbTempSelsct[i]->Left=iCbLeft+iCbColPitch*(iCount/iCbColCount);"
"cContact.cpp","D:\HT9045\HT9011UC_Code_V3.33.897.0_20260306\cContact.cpp","294","MOT[MTestZ1].Gali_ReadEncoderPos()/MOT[MTestZ1].Motor->GearRatio","ChangeToFloatNonPcnt((double)(MOT[MTestZ1].Gali_ReadEncoderPos()), (double)(MOT[MTestZ1].Motor->GearRatio))","MOT[MTestZ1].Gali_ReadEncoderPos()","MOT[MTestZ1].Motor->GearRatio","int Pos2=MOT[MTestZ1].Gali_ReadEncoderPos()/MOT[MTestZ1].Motor->GearRatio;  //Steven 20100728 : 要加上齒輪比"
"cContact.cpp","D:\HT9045\HT9011UC_Code_V3.33.897.0_20260306\cContact.cpp","295","MOT[MTestY2].Gali_ReadEncoderPos()/MOT[MTestY2].Motor->GearRatio","ChangeToFloatNonPcnt((double)(MOT[MTestY2].Gali_ReadEncoderPos()), (double)(MOT[MTestY2].Motor->GearRatio))","MOT[MTestY2].Gali_ReadEncoderPos()","MOT[MTestY2].Motor->GearRatio","int Pos4=MOT[MTestY2].Gali_ReadEncoderPos()/MOT[MTestY2].Motor->GearRatio;  //Steven 20100728 : 要加上齒輪比"
"cContact.cpp","D:\HT9045\HT9011UC_Code_V3.33.897.0_20260306\cContact.cpp","329","MOT[MTestY1].Gali_ReadEncoderPos()/MOT[MTestY1].Motor->GearRatio","ChangeToFloatNonPcnt((double)(MOT[MTestY1].Gali_ReadEncoderPos()), (double)(MOT[MTestY1].Motor->GearRatio))","MOT[MTestY1].Gali_ReadEncoderPos()","MOT[MTestY1].Motor->GearRatio","int Pos1=MOT[MTestY1].Gali_ReadEncoderPos()/MOT[MTestY1].Motor->GearRatio;  //Steven 20100728 : 要加上齒輪比"
"cContact.cpp","D:\HT9045\HT9011UC_Code_V3.33.897.0_20260306\cContact.cpp","330","MOT[MTestZ2].Gali_ReadEncoderPos()/MOT[MTestZ2].Motor->GearRatio","ChangeToFloatNonPcnt((double)(MOT[MTestZ2].Gali_ReadEncoderPos()), (double)(MOT[MTestZ2].Motor->GearRatio))","MOT[MTestZ2].Gali_ReadEncoderPos()","MOT[MTestZ2].Motor->GearRatio","int Pos3=MOT[MTestZ2].Gali_ReadEncoderPos()/MOT[MTestZ2].Motor->GearRatio;  //Steven 20100728 : 要加上齒輪比"
"cContact.cpp","D:\HT9045\HT9011UC_Code_V3.33.897.0_20260306\cContact.cpp","17279","dHeadMaxForce/fComplianceUnit","ChangeToFloatNonPcnt((double)(dHeadMaxForce), (double)(fComplianceUnit))","dHeadMaxForce","fComplianceUnit","Str.sprintf(""Max force per compliance: %0.2fkg"", dHeadMaxForce/fComplianceUnit);"
"cContactCT.cpp","D:\HT9045\HT9011UC_Code_V3.33.897.0_20260306\cContactCT.cpp","202","(ARow-1)/TestSocket.iShtCol","ChangeToFloatNonPcnt((double)((ARow-1)), (double)(TestSocket.iShtCol))","(ARow-1)","TestSocket.iShtCol","str.sprintf(""%c%c"", 'A'+((ARow-1)/TestSocket.iShtCol), 'a'+((ARow-1)%TestSocket.iShtCol));"
"cContactCT.cpp","D:\HT9045\HT9011UC_Code_V3.33.897.0_20260306\cContactCT.cpp","242","(ARow-1)/TestSocket.iShtCol","ChangeToFloatNonPcnt((double)((ARow-1)), (double)(TestSocket.iShtCol))","(ARow-1)","TestSocket.iShtCol","str.sprintf(""%c%c"", 'C'+((ARow-1)/TestSocket.iShtCol), 'a'+((ARow-1)%TestSocket.iShtCol));"
"cContactCT.cpp","D:\HT9045\HT9011UC_Code_V3.33.897.0_20260306\cContactCT.cpp","247","(ARow-1)/TestSocket.iShtCol","ChangeToFloatNonPcnt((double)((ARow-1)), (double)(TestSocket.iShtCol))","(ARow-1)","TestSocket.iShtCol","str.sprintf(""%c%c"", 'B'+((ARow-1)/TestSocket.iShtCol), 'a'+((ARow-1)%TestSocket.iShtCol));"
"cinitial.cpp","D:\HT9045\HT9011UC_Code_V3.33.897.0_20260306\cinitial.cpp","14084","SThreadPara.base_posY[0]/MOT[MInShuttle1].Motor->GearRatio","ChangeToFloatNonPcnt((double)(SThreadPara.base_posY[0]), (double)(MOT[MInShuttle1].Motor->GearRatio))","SThreadPara.base_posY[0]","MOT[MInShuttle1].Motor->GearRatio","SThreadPara.iCheckPosMaxY[0][0]     =SThreadPara.base_posY[0]/MOT[MInShuttle1].Motor->GearRatio+CHECK_RANGE;"
"cinitial.cpp","D:\HT9045\HT9011UC_Code_V3.33.897.0_20260306\cinitial.cpp","14085","SThreadPara.base_posY[0]/MOT[MInShuttle1].Motor->GearRatio","ChangeToFloatNonPcnt((double)(SThreadPara.base_posY[0]), (double)(MOT[MInShuttle1].Motor->GearRatio))","SThreadPara.base_posY[0]","MOT[MInShuttle1].Motor->GearRatio","SThreadPara.iCheckPosMinY[0][0]     =SThreadPara.base_posY[0]/MOT[MInShuttle1].Motor->GearRatio-CHECK_RANGE;"
"cinitial.cpp","D:\HT9045\HT9011UC_Code_V3.33.897.0_20260306\cinitial.cpp","14086","SThreadPara.base_posY[1]/MOT[MInShuttle2].Motor->GearRatio","ChangeToFloatNonPcnt((double)(SThreadPara.base_posY[1]), (double)(MOT[MInShuttle2].Motor->GearRatio))","SThreadPara.base_posY[1]","MOT[MInShuttle2].Motor->GearRatio","SThreadPara.iCheckPosMaxY[1][0]     =SThreadPara.base_posY[1]/MOT[MInShuttle2].Motor->GearRatio+CHECK_RANGE;"
"cinitial.cpp","D:\HT9045\HT9011UC_Code_V3.33.897.0_20260306\cinitial.cpp","14087","SThreadPara.base_posY[1]/MOT[MInShuttle2].Motor->GearRatio","ChangeToFloatNonPcnt((double)(SThreadPara.base_posY[1]), (double)(MOT[MInShuttle2].Motor->GearRatio))","SThreadPara.base_posY[1]","MOT[MInShuttle2].Motor->GearRatio","SThreadPara.iCheckPosMinY[1][0]     =SThreadPara.base_posY[1]/MOT[MInShuttle2].Motor->GearRatio-CHECK_RANGE;"
"cinitial.cpp","D:\HT9045\HT9011UC_Code_V3.33.897.0_20260306\cinitial.cpp","14088","SThreadPara.base_InposY[0]/MOT[MInShuttle1].Motor->GearRatio","ChangeToFloatNonPcnt((double)(SThreadPara.base_InposY[0]), (double)(MOT[MInShuttle1].Motor->GearRatio))","SThreadPara.base_InposY[0]","MOT[MInShuttle1].Motor->GearRatio","SThreadPara.iCheckInPosMaxY[0][0]   =SThreadPara.base_InposY[0]/MOT[MInShuttle1].Motor->GearRatio+CHECK_RANGE;      //Isaac 20170418 (Steven) 用Y Latch檢測Inshuttle有無IC"
"cinitial.cpp","D:\HT9045\HT9011UC_Code_V3.33.897.0_20260306\cinitial.cpp","14089","SThreadPara.base_InposY[0]/MOT[MInShuttle1].Motor->GearRatio","ChangeToFloatNonPcnt((double)(SThreadPara.base_InposY[0]), (double)(MOT[MInShuttle1].Motor->GearRatio))","SThreadPara.base_InposY[0]","MOT[MInShuttle1].Motor->GearRatio","SThreadPara.iCheckInPosMinY[0][0]   =SThreadPara.base_InposY[0]/MOT[MInShuttle1].Motor->GearRatio-CHECK_RANGE;"
"cinitial.cpp","D:\HT9045\HT9011UC_Code_V3.33.897.0_20260306\cinitial.cpp","14090","SThreadPara.base_InposY[1]/MOT[MInShuttle2].Motor->GearRatio","ChangeToFloatNonPcnt((double)(SThreadPara.base_InposY[1]), (double)(MOT[MInShuttle2].Motor->GearRatio))","SThreadPara.base_InposY[1]","MOT[MInShuttle2].Motor->GearRatio","SThreadPara.iCheckInPosMaxY[1][0]   =SThreadPara.base_InposY[1]/MOT[MInShuttle2].Motor->GearRatio+CHECK_RANGE;"
"cinitial.cpp","D:\HT9045\HT9011UC_Code_V3.33.897.0_20260306\cinitial.cpp","14091","SThreadPara.base_InposY[1]/MOT[MInShuttle2].Motor->GearRatio","ChangeToFloatNonPcnt((double)(SThreadPara.base_InposY[1]), (double)(MOT[MInShuttle2].Motor->GearRatio))","SThreadPara.base_InposY[1]","MOT[MInShuttle2].Motor->GearRatio","SThreadPara.iCheckInPosMinY[1][0]   =SThreadPara.base_InposY[1]/MOT[MInShuttle2].Motor->GearRatio-CHECK_RANGE;"
"cinitial.cpp","D:\HT9045\HT9011UC_Code_V3.33.897.0_20260306\cinitial.cpp","14092","SThreadPara.iLaserBasePos[0]/MOT[MInShuttle1].Motor->GearRatio","ChangeToFloatNonPcnt((double)(SThreadPara.iLaserBasePos[0]), (double)(MOT[MInShuttle1].Motor->GearRatio))","SThreadPara.iLaserBasePos[0]","MOT[MInShuttle1].Motor->GearRatio","SThreadPara.iLaserCheckPos[0][0]    =SThreadPara.iLaserBasePos[0]/MOT[MInShuttle1].Motor->GearRatio;                //Steven 20140228 : 雷射測距功能"
"cinitial.cpp","D:\HT9045\HT9011UC_Code_V3.33.897.0_20260306\cinitial.cpp","14093","SThreadPara.iLaserBasePos[1]/MOT[MInShuttle2].Motor->GearRatio","ChangeToFloatNonPcnt((double)(SThreadPara.iLaserBasePos[1]), (double)(MOT[MInShuttle2].Motor->GearRatio))","SThreadPara.iLaserBasePos[1]","MOT[MInShuttle2].Motor->GearRatio","SThreadPara.iLaserCheckPos[1][0]    =SThreadPara.iLaserBasePos[1]/MOT[MInShuttle2].Motor->GearRatio;                //Steven 20140228 : 雷射測距功能"
